"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"livre";-0,0577945158504126;0,0170133346731037;0,476036430173027;-0,0714618512474793;-0,687411600598833;-0,0686920128014038;0,020221299304319;0,56579590769505;-0,0849364049248078;-0,817027113617241;0,00876282375655899;0,000604397213339965;0,440803453518491;0,00739927923527543;0,54243004627632;4,39677387279848e-05;3,81012970970634e-06;0,00298291755374266;6,72216851742686e-05;0,00622006014636932;0,0131631815243785;0,313183235032519;0,00129109405716934
"grand";0,0456922477713043;0,460859829703671;-0,186567493586251;-0,442714742974918;0,112528059472697;0,0675204665985185;0,681022979956088;-0,275694999337963;-0,654209575447558;0,16628525519364;0,00671889610451995;0,544030608894017;0,0830574561087591;0,348362119136793;0,0178309197559013;1,34582634708084e-05;0,00136912055259384;0,000224375758532355;0,00126343222412996;8,16254595015451e-05;0,00644620302919134;0,282766186452685;0,000515417226179043
"ouvrage";-1,08052843061405;-1,33711118193343;0,165376668062035;-1,22603902272112;0,142205037777885;-0,509018197422341;-0,62988988007861;0,0779060791809169;-0,577565712880223;0,0669903261619312;0,338430568225493;0,412481973528778;0,00587813361244747;0,240644448729896;0,00256487590339335;0,00663897454515645;0,0101663170140128;0,000155516717877161;0,00854746228436622;0,00011498960198527;0,00568628478591269;0,942183124377648;0,0050477664076846
"bibliothèque";-1,73565887479988;0,816843130322201;-0,362216098248814;0,99607444474415;1,13486821823161;-0,703264705365626;0,330973414025386;-0,146764897937107;0,403595436335951;0,459832732520951;0,633896191961225;0,111747924069382;0,02047003966906;0,115303653128908;0,118582191171425;0,0152617508097892;0,00338028200602389;0,000664677699122555;0,00502642500999225;0,00652478911129986;0,00506612162185769;1,10583216062201;0,00619518163906722
"science";0,0928881434758897;0,0235699918305196;1,74855441759514;0,783516516675419;-1,44132691937096;0,0387102899291447;0,00982257996817225;0,728694168374286;0,32652339028233;-0,600659899570639;0,00244832531565999;0,000125470077807538;0,643280897169989;0,0962088324311312;0,257936475005423;3,94911218136739e-05;2,54271549187462e-06;0,0139938498757642;0,00280979876244491;0,00950832244270722;0,00457697884457488;0,952268975952095;0,00415047857503875
"oeuvre";0,0910308264608893;-0,0519767319801081;0,937005600601441;-0,54360181119594;0,0804979918474845;0,0834145136949766;-0,0476279738428786;0,858608776195386;-0,498120059846976;0,0737629339909929;0,0100143658066002;0,00259858642673624;0,786728069095742;0,197232438877886;0,00342653979303735;4,15466950035075e-05;1,35449513743913e-05;0,00440193762076202;0,00148156701538861;3,24884957191988e-05;0,00501371346714882;0,461435150407231;0,00106753189446737
"forme";0,105564326558984;-0,586949092362925;0,222318763386997;0,114114758411728;-0,118976886131796;0,160563371327501;-0,892749739797277;0,338146903621195;0,173568580656578;-0,18096387832963;0,0332273326036135;0,817588421344331;0,109271560130713;0,0214444455018804;0,0184682404194628;5,27571428531323e-05;0,00163097676980512;0,000233990993171449;6,16496385877137e-05;6,7015012254958e-05;0,0047342033087015;0,293767235603868;0,000408557904749678
"voir";0,320916156196242;-0,0620154347407813;0,109475041012138;0,303598183430389;-0,114625655507744;0,6778643154596;-0,130993873031381;0,231241781701466;0,641283932928488;-0,242121314258016;0,600194485573328;0,0178394379904504;0,0517884439637094;0,29667247148208;0,0335051609904338;0,000537937679943808;2,0088540602001e-05;6,26006777558515e-05;0,000481445508406049;6,86297578616322e-05;0,00522334608598431;0,210125856007454;0,000230625748711575
"donner";0,226984421371374;-0,401948731824331;-0,00620084181645376;-0,00914989333864734;-0,00832566275777865;0,491501509522804;-0,870361090196607;-0,0134270144826931;-0,0198127534953594;-0,0180280029285836;0,285885037782319;0,713531902299244;0,000158195607680556;0,000256567393294424;0,000168296917463687;0,000253815900071169;0,000795917488780863;1,89420957385466e-07;4,12438107133304e-07;3,41479276426218e-07;0,00492636654263403;0,215344732176294;0,000228452138019575
"document";-0,0243679297986807;-0,801241409249768;0,428502207492102;0,493313936210438;-0,568172444011502;-0,0206509785505001;-0,679024410070534;0,363140815361361;0,418066516093462;-0,481506514964679;0,000643073346575329;0,553379107036829;0,147442660612815;0,145559342123953;0,152975816879828;2,7229783676917e-06;0,00294397212624854;0,000842001855759153;0,0011159730082386;0,00148035970529455;0,00458571353702636;0,487441267397848;0,00108956090098589
"général";-0,759916026633354;-0,159198621730752;0,480465383991563;0,580972334491291;0,243664241523876;-0,685035980564287;-0,143511625126478;0,433121639647507;0,523724910240623;0,219654233850363;0,588534011166612;0,0205585135598731;0,174444932051896;0,189985885289281;0,0264766579323403;0,00258759433070469;0,00011356476071815;0,00103440161604794;0,0015124321036363;0,000266041006869566;0,00448089722760862;0,502474163010914;0,00113133820681284
"travail";-0,791072496581561;0,123572434785343;0,384715985824242;0,913328990998069;0,631304406320108;-0,556350586473704;0,08690682189293;0,270565549003458;0,642331925305183;0,443987849681756;0,452561233254497;0,0087894304015723;0,0793631752420946;0,33317264727259;0,126113513829248;0,00259641314267856;6,33555164248859e-05;0,000614075390271659;0,00346095310128606;0,00165355585297427;0,00414897891445242;0,596501479685585;0,00147626484680982
"écrire";1,21706128091578;0,308888651270624;0,199161377288214;-0,525884565964583;0,723415504312485;0,782971564186961;0,198717216821638;0,128126411994347;-0,338317114882864;0,465394617222928;0,752539957992029;0,0385816967438615;0,0149419991110969;0,0775989057929359;0,116337440360076;0,00566691398720289;0,000365027541455705;0,000151751142856439;0,00105804119807884;0,00200215342001033;0,00382579529374771;0,711674783879944;0,00193769261856146
"journal";-0,783047382387982;1,56410241723283;-1,36518530875054;-1,50964152409656;-1,73223324447316;-0,245146077768242;0,489668417820561;-0,427394090567561;-0,472618524487929;-0,542304584899239;0,0941318012947488;0,298925803581166;0,212147192629344;0,193231544863711;0,201563657631031;0,00215302838453608;0,00859021523488134;0,00654420481758275;0,00800241992534627;0,0105362583139399;0,00351134636549447;1,29465416196751;0,00588547087362753
"international";-1,74337025923079;1,15776132654529;-0,104103314568193;2,18133102362983;2,30548738967614;-0,458399820273479;0,304420464441162;-0,027372808750901;0,573556732366231;0,606202267977552;0,335174625996133;0,117652914594822;0,000886165369280843;0,289804479898399;0,256481814141367;0,0108314611672548;0,00477689679097458;3,86221899836339e-05;0,0169570747002881;0,0189423249865829;0,00356375452020334;1,52752378232274;0,00831541143431617
"auteur";-0,627426111754601;-0,852741795029396;0,553885681924804;-1,03239187640004;0,181076431798593;-0,394752617500209;-0,536512665528559;0,348483779427436;-0,649541655757969;0,113926395604093;0,218348832318899;0,321021071941673;0,12617106392019;0,326501309897413;0,0079577219218275;0,00141667428849935;0,00261685664992979;0,00110404077040177;0,00383560601663261;0,000117996381662379;0,00359869329000926;0,681115974956681;0,00166950208927354
"bibliographie";-1,65170776732794;-0,978259932062438;0,160975230999677;-0,146588110416268;0,835947342510802;-0,784631373780962;-0,464715035911448;0,0764700748779045;-0,0696355812638347;0,397110508733574;0,712924431566787;0,199048245309309;0,00502098566701077;0,00310130617574697;0,0799050312811473;0,00795903669662303;0,0027919177298772;7,55983294766466e-05;6,26890340700838e-05;0,00203869345122191;0,00291738727879391;0,992305449658904;0,00287266403936902
