"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1130";"9242";"12.23";"****";""
" 8";"395";"2.03";"-40.01";"documentation";"2.520721e-10"
"20";"525";"3.81";"-36.75";"document";"1.344736e-09"
" 3";"238";"1.26";"-27.37";"image";"1.675946e-07"
" 7";"284";"2.46";"-26.02";"texte";"3.382210e-07"
"27";"524";"5.15";"-25.90";"science";"3.590043e-07"
"16";"393";"4.07";"-25.44";"matière";"4.566534e-07"
"29";"542";"5.35";"-25.37";"forme";"4.738977e-07"
" 7";"274";"2.55";"-24.61";"intellectuel";"7.003897e-07"
" 4";"225";"1.78";"-23.46";"élément";"1.274146e-06"
"13";"332";"3.92";"-22.17";"traiter";"2.501662e-06"
"13";"323";"4.02";"-20.98";"art";"4.639352e-06"
"17";"369";"4.61";"-20.79";"partie";"5.115548e-06"
"18";"378";"4.76";"-20.46";"lieu";"6.074941e-06"
" 6";"230";"2.61";"-20.33";"classification";"6.510870e-06"
"24";"438";"5.48";"-19.51";"écrire";"1.003257e-05"
" 0";"130";"0.00";"-18.37";"signe";"1.821543e-05"
" 1";"138";"0.72";"-17.27";"note";"3.242371e-05"
" 8";"232";"3.45";"-17.09";"écriture";"3.568297e-05"
" 5";"192";"2.60";"-16.92";"donnée";"3.904400e-05"
" 4";"178";"2.25";"-16.84";"connaissance";"4.060413e-05"
" 6";"204";"2.94";"-16.76";"table";"4.242105e-05"
"15";"312";"4.81";"-16.56";"objet";"4.710012e-05"
"30";"475";"6.32";"-16.30";"travail";"5.399053e-05"
" 2";"146";"1.37";"-16.29";"tableau";"5.425679e-05"
" 3";"158";"1.90";"-15.98";"humain";"6.409997e-05"
" 0";"112";"0.00";"-15.79";"décimal";"7.066472e-05"
"40";"574";"6.97";"-15.77";"oeuvre";"7.163946e-05"
" 0";"111";"0.00";"-15.65";"alphabétique";"7.620277e-05"
" 1";"126";"0.79";"-15.56";"expression";"7.995930e-05"
" 9";"232";"3.88";"-15.45";"pensée";"8.465791e-05"
" 7";"207";"3.38";"-15.44";"chose";"8.533214e-05"
" 9";"231";"3.90";"-15.32";"esprit";"9.069412e-05"
" 2";"134";"1.49";"-14.60";"règle";"1.329997e-04"
" 3";"147";"2.04";"-14.44";"sentir";"1.445835e-04"
" 9";"224";"4.02";"-14.41";"vie";"1.466604e-04"
" 2";"130";"1.54";"-14.04";"division";"1.793519e-04"
" 1";"115";"0.87";"-14.00";"coopération";"1.831941e-04"
"36";"513";"7.02";"-13.73";"général";"2.106171e-04"
" 0";" 94";"0.00";"-13.23";"couleur";"2.756905e-04"
" 3";"138";"2.17";"-13.19";"notice";"2.811080e-04"
"10";"226";"4.42";"-13.14";"servir";"2.890396e-04"
" 9";"213";"4.23";"-13.01";"principe";"3.103760e-04"
"10";"223";"4.48";"-12.76";"universel";"3.532877e-04"
" 9";"211";"4.27";"-12.75";"manière";"3.554200e-04"
" 4";"147";"2.72";"-12.58";"classement";"3.905383e-04"
"14";"267";"5.24";"-12.49";"mot";"4.083000e-04"
" 5";"159";"3.14";"-12.43";"répertoire";"4.214296e-04"
" 0";" 86";"0.00";"-12.09";"dessin";"5.063031e-04"
" 2";"116";"1.72";"-12.07";"exprimer";"5.111778e-04"
"43";"564";"7.62";"-11.86";"donner";"5.744737e-04"
" 3";"128";"2.34";"-11.81";"domaine";"5.880705e-04"
" 5";"154";"3.25";"-11.77";"machine";"6.025984e-04"
"28";"408";"6.86";"-11.44";"international";"7.172384e-04"
" 3";"125";"2.40";"-11.40";"âge";"7.337343e-04"
" 2";"111";"1.80";"-11.38";"nature";"7.433857e-04"
"15";"268";"5.60";"-11.30";"langue";"7.733403e-04"
" 8";"186";"4.30";"-11.11";"ficher";"8.582686e-04"
" 1";" 94";"1.06";"-11.03";"grec";"8.980094e-04"
"14";"254";"5.51";"-10.97";"nom";"9.241597e-04"
" 8";"183";"4.37";"-10.73";"but";"1.051625e-03"
"14";"251";"5.58";"-10.63";"étude";"1.113415e-03"
" 0";" 74";"0.00";"-10.39";"synthèse";"1.266044e-03"
" 3";"117";"2.56";"-10.31";"oeil";"1.323423e-03"
"22";"334";"6.59";"-10.27";"bibliographie";"1.351414e-03"
" 0";" 73";"0.00";"-10.25";"fondamental";"1.366960e-03"
" 5";"142";"3.52";"-10.18";"indiquer";"1.416215e-03"
" 1";" 88";"1.14";"-10.18";"évolution";"1.417701e-03"
" 9";"189";"4.76";"-10.02";"suivant";"1.549670e-03"
" 6";"153";"3.92";"-10.00";"instrument";"1.566003e-03"
" 1";" 86";"1.16";" -9.90";"opérer";"1.651287e-03"
" 0";" 70";"0.00";" -9.83";"référence";"1.721178e-03"
" 3";"113";"2.65";" -9.77";"réalité";"1.777069e-03"
" 1";" 85";"1.18";" -9.76";"notation";"1.782254e-03"
" 6";"151";"3.97";" -9.74";"photographie";"1.799688e-03"
" 0";" 69";"0.00";" -9.68";"indice";"1.858809e-03"
"17";"274";"6.20";" -9.54";"caractère";"2.007078e-03"
" 0";" 68";"0.00";" -9.54";"lumière";"2.007573e-03"
" 0";" 68";"0.00";" -9.54";"décrire";"2.007573e-03"
"15";"252";"5.95";" -9.50";"homme";"2.050937e-03"
" 3";"111";"2.70";" -9.50";"systématique";"2.059148e-03"
"24";"347";"6.92";" -9.47";"moyen";"2.084286e-03"
" 1";" 82";"1.22";" -9.34";"force";"2.241452e-03"
" 1";" 81";"1.23";" -9.20";"envisager";"2.419679e-03"
" 0";" 65";"0.00";" -9.12";"cadre";"2.530208e-03"
" 1";" 80";"1.25";" -9.06";"alphabet";"2.612209e-03"
"50";"598";"8.36";" -8.90";"voir";"2.847907e-03"
" 2";" 93";"2.15";" -8.89";"contenu";"2.870673e-03"
"17";"267";"6.37";" -8.80";"établir";"3.017537e-03"
" 5";"128";"3.91";" -8.37";"déterminer";"3.807780e-03"
" 6";"140";"4.29";" -8.35";"simple";"3.850552e-03"
" 2";" 89";"2.25";" -8.34";"unité";"3.879052e-03"
" 4";"115";"3.48";" -8.30";"nécessaire";"3.953949e-03"
"25";"345";"7.25";" -8.28";"ensemble";"4.001366e-03"
" 4";"114";"3.51";" -8.17";"appliquer";"4.248552e-03"
" 1";" 73";"1.37";" -8.08";"chapitre";"4.471284e-03"
"28";"373";"7.51";" -8.07";"ordre";"4.502609e-03"
" 1";" 72";"1.39";" -7.94";"dimension";"4.829300e-03"
" 2";" 86";"2.33";" -7.93";"parole";"4.862794e-03"
" 2";" 86";"2.33";" -7.93";"théâtre";"4.862794e-03"
" 4";"112";"3.57";" -7.91";"composer";"4.904717e-03"
" 3";" 99";"3.03";" -7.89";"indication";"4.980632e-03"
" 9";"171";"5.26";" -7.87";"organisme";"5.019648e-03"
" 0";" 56";"0.00";" -7.85";"rapide";"5.086727e-03"
"13";"215";"6.05";" -7.83";"permettre";"5.126272e-03"
" 6";"135";"4.44";" -7.73";"mouvement";"5.426175e-03"
" 0";" 55";"0.00";" -7.71";"synthétique";"5.499624e-03"
" 1";" 70";"1.43";" -7.66";"théorie";"5.634764e-03"
"19";"276";"6.88";" -7.57";"prendre";"5.944376e-03"
" 0";" 54";"0.00";" -7.57";"surface";"5.946648e-03"
" 2";" 83";"2.41";" -7.52";"laisser";"6.097385e-03"
" 6";"133";"4.51";" -7.49";"parler";"6.220899e-03"
" 5";"121";"4.13";" -7.49";"ligne";"6.219778e-03"
"14";"222";"6.31";" -7.43";"méthode";"6.416753e-03"
