"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"livre";2,326;-17,314;123,284;-7,854;5,965;-68,333
"grand";22,804;0,132;-12,619;13,95;-6,208;-2,418
"ouvrage";-3,746;-26,452;-68,205;-23,757;660,338;-99,841
"bibliothèque";17,646;675,543;-83,046;-70,588;1,934;-123,459
"science";-25,903;-3,528;473,744;-10,06;-2,2;-101,525
"oeuvre";-15,767;-9,892;20,226;35,987;13,288;-56,991
"forme";-25,367;-5,237;6,794;-7,26;23,65;0,609
"voir";-8,902;-0,111;12,296;-0,815;-3,28;5,102
"donner";-11,857;-6,181;0,239;-1,404;7,924;6,229
"document";-36,747;-4,672;48,99;-47,502;37,25;-0,039
"général";-13,734;73,405;4,102;-26,973;28,329;-53,122
"travail";-16,303;163,828;0,52;-20,389;4,253;-41,499
"écrire";-19,505;-22,92;-0,194;129,086;-40,466;24,692
"journal";658,54;-10,342;-42,976;-6,928;-17,276;-30,64
"international";-11,444;1078,811;-51,725;-36,596;-16,532;-73,82
"auteur";-7,146;-13,491;-6,099;0,118;194,957;-62,185
"bibliographie";-10,271;52,342;-42,898;-42,857;251,468;-78,226
"ordre";-8,069;-6,676;-2,364;-17,651;227,58;-45,212
"documentation";-40,015;412,271;-0,363;-45,507;1,914;-48,536
"catalogue";-3,523;0,986;-54,341;-50,783;389,469;-57,478
"partie";-20,794;-1,984;-4,714;-4,085;115,021;-8,358
"idée";-7,051;-11,094;35,457;79,233;-15,714;-17,04
"matière";-25,439;-12,473;-10,31;-34,112;305,287;-13,488
"temps";0,341;-7,949;12,344;18,348;-7,304;-4,987
"art";-20,981;-13,667;59,78;55,514;-46,064;0,238
"collection";1,953;35,567;-50,299;-37,539;140,798;-50,29
"lieu";-20,464;-1,224;-5,545;-15,872;119,695;-2,235
"traiter";-22,165;-4,054;-6,673;-17,107;289,172;-46,725
"mot";-12,494;-30,045;-15,596;30,681;3,07;19,712
"objet";-16,561;2,644;6,38;-22,757;1,161;7,296
"ensemble";-8,283;-0,017;1,718;-23,248;90,983;-23,416
"moyen";-9,474;-12,891;20,423;42,283;-36,467;4,757
"langue";-11,304;-12,018;0,809;190,058;-6,039;-22,041
"scientifique";-5,659;113,318;11,075;-6,196;-4,222;-32,875
"organisation";-0,902;465,659;-9,039;-38,884;-1,292;-63,463
"premier";-1,728;-0,495;-2,88;1,961;-0,627;8,354
"papier";2,614;-11,368;-38,845;-26,535;-14,074;256,78
"mettre";0,039;2,116;1,853;-13,785;0,223;0,014
"nombre";14,343;-15,129;-3,56;-0,157;2,804;0,209
"nouveau";2,574;-4,434;27,507;-0,092;-9,049;-0,788
"publication";9,907;22,527;-39,135;-33,803;107,614;-48,155
"ex";-2,115;-2,701;-26,361;-3,313;61,665;0,208
"page";-1,287;-29,885;-32,143;-19,212;215,995;-1,539
"texte";-26,018;-26,808;-13,189;-0,49;16,408;67,712
"titre";-4,443;-4,96;-36,734;-24,853;279,685;-20,23
"histoire";-1,925;-1,828;15,143;47,46;-5,44;-24,233
"constituer";-6,55;28,862;-0,262;-21,832;25,731;-11,171
"caractère";-9,543;-15,498;-0,361;-1,34;-5,556;101,404
"intellectuel";-24,614;125,595;54,342;-0,402;-21,471;-44,716
"image";-27,375;-25,611;-5,987;-3,792;-29,567;345,514
"édition";116,141;-0,002;-35,46;-11,764;19,297;-25,694
"système";-2,044;-1,303;0,452;-5,323;16,965;-0,829
"écriture";-17,088;-30,951;-0,741;-0,087;-38,477;255,621
"chose";-15,436;-8,423;99,118;4,037;-7,727;-5,44
"siècle";0,539;-11,409;-20,662;53,046;-33,459;40,147
"pensée";-15,451;-15,847;269,873;7,448;-42,399;-16,245
"élément";-23,462;-11,948;41,781;-20,417;24,356;-0,197
"prendre";-7,567;-0,487;1,004;-0,466;0;6,519
"public";25,892;285,452;-18,871;-0,289;-65,739;-27,116
"publier";73,154;0,789;-41,954;-23,864;85,506;-56,7
"nom";-10,974;-6,037;-29,208;-0,459;98,887;-0,128
