livre;202;146;391;183;409;176
grand;131;99;86;141;154;127
ouvrage;64;42;31;52;433;29
bibliothèque;103;279;16;15;157;10
science;27;54;264;51;115;13
oeuvre;40;50;132;132;178;42
forme;29;53;110;57;181;112
voir;50;75;128;79;129;137
donner;43;54;96;72;167;132
document;20;52;143;22;188;100
général;36;130;100;34;177;36
travail;30;153;83;35;136;38
écrire;24;24;68;145;52;125
journal;214;31;18;40;64;35
international;28;271;14;17;66;12
auteur;33;29;49;62;221;18
bibliographie;22;87;11;7;205;2
ordre;28;32;50;26;215;22
documentation;8;184;60;11;109;23
catalogue;28;47;4;2;227;9
partie;17;39;45;40;178;50
idée;17;15;75;85;35;23
matière;16;28;41;17;243;48
temps;51;32;88;85;73;58
art;13;20;103;93;28;66
collection;54;86;11;13;188;19
lieu;18;42;45;28;183;62
traiter;13;31;37;22;213;16
mot;14;5;20;70;78;80
objet;15;50;67;16;85;79
ensemble;25;44;65;19;160;32
moyen;24;23;87;92;38;83
langue;15;16;49;117;49;22
scientifique;23;99;69;28;58;19
organisation;34;170;33;8;71;7
premier;33;39;43;57;76;85
papier;42;17;7;10;41;156
mettre;41;51;62;24;84;64
nombre;60;18;39;43;90;64
nouveau;47;28;84;43;54;54
publication;55;67;10;9;152;12
ex;29;30;17;33;133;62
page;28;6;11;15;173;46
texte;7;8;24;37;99;109
titre;20;21;6;9;175;21
histoire;25;27;66;77;49;20
constituer;22;69;45;15;110;35
caractère;17;14;41;33;51;118
intellectuel;7;97;89;36;35;10
image;3;5;25;24;23;158
édition;87;33;7;18;93;18
système;21;24;41;21;83;39
écriture;8;2;33;32;17;140
chose;7;13;86;40;34;27
siècle;36;16;16;79;25;91
pensée;9;10;129;48;15;21
élément;4;12;72;9;87;41
prendre;19;32;51;36;68;70
public;60;127;18;36;10;19
publier;80;41;6;12;134;5
nom;14;20;10;33;130;47
jour;82;30;35;36;39;52
état;87;47;44;19;40;24
homme;15;12;78;114;8;25
classification;6;8;29;5;173;9
etc;42;32;19;27;85;77
établir;17;43;27;15;130;35
étude;14;52;74;32;62;17
pays;67;81;18;24;53;14
méthode;14;34;51;22;77;24
lecture;17;48;54;33;38;51
comprendre;25;39;42;24;95;28
volume;41;18;4;11;152;20
esprit;9;11;119;58;19;15
lettre;26;10;10;30;28;131
table;6;9;3;2;170;14
universel;10;57;34;12;100;10
fait;14;10;70;29;43;20
manière;9;29;47;26;63;37
présenter;22;30;29;17;87;42
principe;9;27;52;7;94;24
connaître;29;16;40;70;36;39
sujet;15;19;25;15;116;22
devenir;22;27;65;36;28;46
ancien;26;27;13;72;37;61
servir;10;16;31;26;54;89
rapport;17;71;43;11;38;24
périodique;46;47;3;1;112;4
presse;102;38;6;19;9;27
imprimer;44;13;9;17;91;51
vie;9;27;82;67;13;26
spécial;18;80;16;10;88;18
donnée;5;23;51;3;94;16
réaliser;15;51;37;14;38;58
particulier;20;29;31;15;85;20
divers;26;31;29;15;92;23
former;24;27;22;19;96;36
exposer;8;10;31;10;63;4
permettre;13;10;43;18;60;71
seul;32;12;29;26;65;50
espèce;11;11;41;11;77;34
bibliographique;13;22;4;6;155;4
trouver;13;20;37;35;62;26
créer;36;37;48;28;16;34
carte;26;11;4;1;49;80
suivant;9;17;23;15;86;39
service;59;98;8;6;17;6
littéraire;24;15;34;88;17;4
p;42;22;14;27;36;13
lire;17;13;54;48;23;30
national;28;111;4;11;30;4
lecteur;26;22;72;14;51;11
ficher;8;13;2;0;155;8
éditeur;95;30;2;6;46;5
littérature;15;11;43;84;14;3
part;21;24;42;23;28;22
connaissance;4;16;97;16;41;4
film;14;16;9;7;8;106
place;19;19;16;18;80;33
revue;69;18;5;16;78;7
