"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;1
"2";0;0;0;0;0;0;4;4;4
"3";0;0;0;0;0;5;5;5;5
"4";0;0;0;0;0;5;5;5;5
"5";0;0;0;0;0;0;0;0;2
"6";0;0;0;0;0;0;0;3;3
"7";0;0;0;0;0;5;5;5;5
"8";0;0;0;0;0;0;0;0;1
"9";0;0;0;0;0;5;5;5;5
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;5;5;5;5
"12";0;0;0;0;0;5;5;5;5
"13";0;0;0;0;0;5;5;5;5
"14";0;0;0;0;0;5;5;5;5
"15";0;0;0;0;0;5;5;5;5
"16";0;0;0;0;0;5;5;5;5
"17";0;0;0;0;0;5;5;5;5
"18";0;0;0;0;0;0;0;3;3
"19";0;0;0;0;0;5;5;5;5
"20";0;0;0;0;0;0;0;0;2
"21";0;0;0;0;0;5;5;5;5
"22";0;0;0;0;0;0;0;0;2
"23";0;0;0;0;6;6;6;6;6
"24";0;0;0;0;0;5;5;5;5
"25";0;0;0;0;0;5;5;5;5
"26";0;0;0;0;0;5;5;5;5
"27";0;0;0;0;0;5;5;5;5
"28";0;0;0;0;0;5;5;5;5
"29";0;0;0;0;0;5;5;5;5
"30";0;0;0;0;0;5;5;5;5
"31";0;0;0;0;0;5;5;5;5
"32";0;0;0;0;0;5;5;5;5
"33";0;0;0;0;0;5;5;5;5
"34";0;0;0;0;0;5;5;5;5
"35";0;0;0;0;0;0;0;3;3
"36";0;0;0;0;0;5;5;5;5
"37";0;0;0;0;0;5;5;5;5
"38";0;0;0;0;0;5;5;5;5
"39";0;0;0;0;0;5;5;5;5
"40";0;0;0;0;0;0;0;0;2
"41";0;0;0;0;0;0;0;0;2
"42";0;0;0;0;0;5;5;5;5
"43";0;0;0;0;0;0;0;0;2
"44";0;0;0;0;0;0;0;0;2
"45";0;0;0;0;0;5;5;5;5
"46";0;0;0;0;0;0;0;0;2
"47";0;0;0;0;0;0;0;0;2
"48";0;0;0;0;0;0;0;0;2
"49";0;0;0;0;0;0;0;0;2
"50";0;0;0;0;0;0;0;0;2
"51";0;0;0;0;0;0;0;0;2
"52";0;0;0;0;0;0;0;0;2
"53";0;0;0;0;0;0;4;4;4
"54";0;0;0;0;0;0;0;0;2
"55";0;0;0;0;0;0;0;0;2
"56";0;0;0;0;0;0;0;0;2
"57";0;0;0;0;0;0;0;0;2
"58";0;0;0;0;0;0;0;0;2
"59";0;0;0;0;0;0;0;0;2
"60";0;0;0;0;0;0;0;0;2
"61";0;0;0;0;0;0;0;0;0
"62";0;0;0;0;0;5;5;5;5
"63";0;0;0;0;0;0;0;0;0
"64";0;0;0;0;6;6;6;6;6
"65";0;0;0;0;0;0;0;3;3
"66";0;0;0;0;0;0;0;3;3
"67";0;0;0;0;0;0;0;0;0
"68";0;0;0;0;0;0;0;3;3
"69";0;0;0;0;0;0;0;0;2
"70";0;0;0;0;0;0;0;0;0
"71";0;0;0;0;0;5;5;5;5
"72";0;0;0;0;0;5;5;5;5
"73";0;0;0;0;0;0;0;3;3
"74";0;0;0;0;0;0;0;3;3
"75";0;0;0;0;0;0;0;0;2
"76";0;0;0;0;0;0;0;3;3
"77";0;0;0;0;0;0;0;3;3
"78";0;0;0;0;0;0;0;3;3
"79";0;0;0;0;0;0;0;3;3
