"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1130";"9242";"12.23";"****";""
"214";" 402";" 53.23";"658.54";"journal";"3.103516e-145"
" 73";"  89";" 82.02";"407.92";"libraire";" 1.039586e-90"
" 78";" 114";" 68.42";"339.63";"allemagne";" 7.685718e-76"
" 96";" 174";" 55.17";"304.77";"france";" 3.015532e-68"
" 72";" 112";" 64.29";"286.31";"librairie";" 3.174344e-64"
"102";" 201";" 50.75";"284.07";"presse";" 9.722263e-64"
" 95";" 184";" 51.63";"271.61";"éditeur";" 5.052088e-61"
" 86";" 168";" 51.19";"242.06";"pari";" 1.398485e-54"
" 50";"  73";" 68.49";"217.07";"maison";" 3.949806e-49"
" 65";" 116";" 56.03";"210.07";"prix";" 1.324304e-47"
" 42";"  56";" 75.00";"206.87";"vendre";" 6.611895e-47"
" 54";"  87";" 62.07";"203.30";"unir";" 3.970154e-46"
" 52";"  82";" 63.41";"202.00";"vente";" 7.659338e-46"
" 36";"  44";" 81.82";"199.51";"fr";" 2.673300e-45"
" 61";" 111";" 54.95";"191.13";"guerre";" 1.803384e-43"
" 34";"  42";" 80.95";"185.69";"quotidien";" 2.773543e-42"
" 43";"  65";" 66.15";"177.39";"angleterre";" 1.804452e-40"
" 23";"  24";" 95.83";"156.73";"agence";" 5.869313e-36"
" 34";"  51";" 66.67";"141.62";"poste";" 1.175870e-32"
" 36";"  57";" 63.16";"138.63";"belgique";" 5.309815e-32"
" 58";" 130";" 44.62";"128.89";"exemplaire";" 7.183198e-30"
" 31";"  48";" 64.58";"123.25";"franc";" 1.232354e-28"
" 26";"  37";" 70.27";"116.62";"payer";" 3.475378e-27"
" 87";" 256";" 33.98";"116.14";"édition";" 4.426271e-27"
" 24";"  33";" 72.73";"112.96";"berlin";" 2.205780e-26"
" 87";" 261";" 33.33";"111.49";"état";" 4.617954e-26"
" 16";"  17";" 94.12";"106.43";"abonné";" 5.949337e-25"
" 69";" 193";" 35.75";"101.65";"revue";" 6.639421e-24"
" 37";"  73";" 50.68";"101.41";"étranger";" 7.488955e-24"
" 19";"  25";" 76.00";" 95.00";"coûter";" 1.904933e-22"
" 61";" 167";" 36.53";" 93.58";"français";" 3.902624e-22"
" 44";" 101";" 43.56";" 93.44";"allemand";" 4.179362e-22"
" 28";"  50";" 56.00";" 89.76";"bulletin";" 2.692854e-21"
" 28";"  51";" 54.90";" 87.03";"américain";" 1.070994e-20"
" 19";"  27";" 70.37";" 85.30";"frais";" 2.559960e-20"
" 15";"  18";" 83.33";" 84.97";"stock";" 3.029798e-20"
" 15";"  18";" 83.33";" 84.97";"hollande";" 3.029798e-20"
" 82";" 274";" 29.93";" 82.43";"jour";" 1.092869e-19"
" 12";"  13";" 92.31";" 77.79";"messagerie";" 1.144499e-18"
" 23";"  41";" 56.10";" 73.86";"marché";" 8.399192e-18"
" 80";" 278";" 28.78";" 73.15";"publier";" 1.198955e-17"
" 14";"  18";" 77.78";" 72.21";"acheteur";" 1.933776e-17"
" 21";"  36";" 58.33";" 71.59";"amérique";" 2.649890e-17"
" 19";"  31";" 61.29";" 69.77";"acheter";" 6.666419e-17"
" 20";"  34";" 58.82";" 69.04";"censure";" 9.636704e-17"
" 17";"  26";" 65.38";" 68.65";"new";" 1.174317e-16"
" 29";"  63";" 46.03";" 67.55";"publicité";" 2.058644e-16"
" 18";"  29";" 62.07";" 67.34";"envoyer";" 2.283312e-16"
" 14";"  19";" 73.68";" 67.01";"habitant";" 2.705158e-16"
" 28";"  60";" 46.67";" 66.75";"tirage";" 3.087621e-16"
" 16";"  24";" 66.67";" 66.45";"leipzig";" 3.587344e-16"
" 22";"  41";" 53.66";" 65.87";"italie";" 4.809589e-16"
"  9";"   9";"100.00";" 64.67";"anvers";" 8.847078e-16"
"  9";"   9";"100.00";" 64.67";"monopole";" 8.847078e-16"
" 15";"  22";" 68.18";" 64.34";"achat";" 1.048526e-15"
" 12";"  15";" 80.00";" 64.30";"abonnement";" 1.066262e-15"
" 11";"  13";" 84.62";" 63.57";"hebdomadaire";" 1.551334e-15"
" 10";"  11";" 90.91";" 63.53";"parisien";" 1.578178e-15"
" 10";"  11";" 90.91";" 63.53";"mars";" 1.578178e-15"
" 17";"  28";" 60.71";" 61.53";"semaine";" 4.368678e-15"
" 59";" 194";" 30.41";" 61.07";"service";" 5.521086e-15"
" 15";"  23";" 65.22";" 60.33";"royal";" 8.021612e-15"
" 11";"  14";" 78.57";" 57.51";"ministre";" 3.367128e-14"
"  8";"   8";"100.00";" 57.48";"börsenverein";" 3.414606e-14"
" 10";"  12";" 83.33";" 56.61";"hachette";" 5.315140e-14"
" 10";"  12";" 83.33";" 56.61";"compagnie";" 5.315140e-14"
" 10";"  12";" 83.33";" 56.61";"autriche";" 5.315140e-14"
" 25";"  57";" 43.86";" 53.48";"postal";" 2.616867e-13"
" 18";"  34";" 52.94";" 52.71";"der";" 3.864296e-13"
" 17";"  31";" 54.84";" 52.63";"louis";" 4.033067e-13"
" 20";"  41";" 48.78";" 51.27";"mois";" 8.030480e-13"
" 46";" 148";" 31.08";" 49.82";"paraître";" 1.683704e-12"
" 12";"  18";" 66.67";" 49.81";"gazette";" 1.697509e-12"
" 12";"  18";" 66.67";" 49.81";"client";" 1.697509e-12"
"  9";"  11";" 81.82";" 49.70";"chronique";" 1.792495e-12"
" 28";"  71";" 39.44";" 49.36";"gouvernement";" 2.129268e-12"
"  8";"   9";" 88.89";" 49.33";"incendie";" 2.158099e-12"
"  8";"   9";" 88.89";" 49.33";"jahrbuch";" 2.158099e-12"
"  8";"   9";" 88.89";" 49.33";"indépendance";" 2.158099e-12"
" 13";"  21";" 61.90";" 48.40";"dollar";" 3.472697e-12"
" 23";"  53";" 43.40";" 48.26";"destruction";" 3.739315e-12"
" 11";"  16";" 68.75";" 47.71";"hollandais";" 4.929960e-12"
" 67";" 257";" 26.07";" 47.20";"pays";" 6.395644e-12"
" 12";"  19";" 63.16";" 46.02";"journalisme";" 1.170996e-11"
" 10";"  14";" 71.43";" 45.79";"espagne";" 1.315569e-11"
" 10";"  14";" 71.43";" 45.79";"bénéfice";" 1.315569e-11"
" 10";"  14";" 71.43";" 45.79";"avril";" 1.315569e-11"
"  9";"  12";" 75.00";" 44.12";"suisse";" 3.091023e-11"
" 12";"  20";" 60.00";" 42.63";"york";" 6.630374e-11"
" 30";"  85";" 35.29";" 42.54";"anglais";" 6.941017e-11"
" 15";"  29";" 51.72";" 42.29";"belge";" 7.874642e-11"
"  7";"   8";" 87.50";" 42.27";"commande";" 7.934373e-11"
" 13";"  23";" 56.52";" 42.15";"bourse";" 8.433971e-11"
" 14";"  26";" 53.85";" 42.08";"mai";" 8.745197e-11"
" 10";"  15";" 66.67";" 41.49";"président";" 1.183998e-10"
" 22";"  54";" 40.74";" 41.15";"commerce";" 1.409203e-10"
" 15";"  30";" 50.00";" 40.02";"estimer";" 2.519752e-10"
" 14";"  27";" 51.85";" 39.62";"annoncer";" 3.087188e-10"
" 13";"  24";" 54.17";" 39.44";"financier";" 3.385567e-10"
"  9";"  13";" 69.23";" 39.42";"bretagne";" 3.421928e-10"
"  9";"  13";" 69.23";" 39.42";"corporation";" 3.421928e-10"
" 28";"  80";" 35.00";" 39.00";"bureau";" 4.242917e-10"
" 22";"  56";" 39.29";" 38.44";"affaire";" 5.648687e-10"
" 10";"  16";" 62.50";" 37.75";"mensuel";" 8.058062e-10"
