"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"livre";0,127;0;0;0,005;0,015;0
"grand";0;0,717;0;0;0,013;0,12
"ouvrage";0,053;0;0;0;0;0
"bibliothèque";0;0;0;0;0,164;0
"science";0;0,06;0;0,002;0,138;0
"oeuvre";0;0,002;0;0;0;0
"forme";0;0,022;0,009;0,007;0;0,435
"voir";0,003;0,739;0;0,367;0,07;0,024
"donner";0,001;0,013;0,625;0,236;0,005;0,013
"document";0;0,031;0;0;0;0,843
"général";0;0;0,043;0;0;0
"travail";0;0;0,471;0;0,039;0
"écrire";0;0;0,659;0;0;0
"journal";0;0,001;0;0,008;0;0
"international";0,001;0;0;0;0;0
"auteur";0,008;0;0,014;0,731;0;0
"bibliographie";0,001;0;0;0;0;0
"ordre";0,005;0,01;0,124;0;0;0
"documentation";0;0;0,547;0;0,166;0
"catalogue";0,061;0,321;0;0;0;0
"partie";0;0,159;0,03;0,043;0;0,004
"idée";0,008;0,001;0;0;0;0
"matière";0;0;0,001;0;0;0
"temps";0,559;0,005;0;0;0,007;0,026
"art";0;0;0;0;0;0,625
"collection";0,162;0;0;0;0;0
"lieu";0;0,269;0,019;0;0;0,135
"traiter";0;0,044;0,01;0;0;0
"mot";0;0;0;0;0,08;0
"objet";0;0,104;0,012;0;0,281;0,007
"ensemble";0,004;0,897;0,19;0;0;0
"moyen";0,002;0;0;0;0;0,029
"langue";0,001;0,001;0,368;0;0,014;0
"scientifique";0,017;0;0,001;0,013;0,04;0
"organisation";0,342;0;0,003;0;0,256;0
"premier";0,189;0,482;0,09;0,161;0,428;0,004
"papier";0,106;0,001;0;0;0;0
"mettre";0,844;0,146;0,173;0;0,637;0,906
"nombre";0;0;0,059;0,692;0,094;0,647
"nouveau";0,109;0,035;0;0,762;0,003;0,375
"publication";0,002;0;0;0;0;0
"ex";0,146;0,1;0;0,069;0;0,649
"page";0,257;0;0;0;0;0,215
"texte";0;0;0;0,484;0;0
"titre";0,035;0,026;0;0;0;0
"histoire";0,165;0,176;0;0;0,02;0
"constituer";0,01;0;0,608;0;0;0,001
"caractère";0,002;0;0,548;0,247;0,018;0
"intellectuel";0;0;0;0,526;0;0
"image";0;0;0,014;0,052;0;0
"édition";0;0,964;0;0,001;0;0
"système";0,153;0,254;0,501;0,021;0;0,363
"écriture";0;0;0,389;0,768;0;0
"chose";0;0,004;0;0,045;0,005;0,02
"siècle";0,463;0,001;0;0;0;0
"pensée";0;0;0;0,006;0;0
"élément";0;0,001;0;0;0;0,657
"prendre";0,006;0,485;0,316;0,495;0,993;0,011
"public";0;0;0;0,591;0;0
"publier";0;0,374;0;0;0;0
"nom";0,001;0,014;0;0,498;0;0,721
"jour";0;0,309;0,11;0,526;0;0,865
"état";0;0,014;0,799;0,001;0;0
"homme";0,002;0;0;0;0;0
"classification";0;0;0,126;0;0;0
"etc";0,165;0,406;0;0,018;0,03;0,001
"établir";0,003;0,124;0,006;0;0;0,009
"étude";0,001;0;0;0,433;0,988;0
"pays";0;0;0;0,018;0,128;0
"méthode";0,006;0,296;0,006;0,051;0;0,001
"lecture";0,013;0,001;0,009;0,729;0,001;0,478
"comprendre";0,248;0,243;0,89;0,022;0;0,001
"volume";0,031;0,007;0;0;0;0
"esprit";0;0;0;0;0;0
"lettre";0,581;0;0;0,453;0;0
"table";0;0;0;0;0;0
"universel";0;0;0,671;0;0;0
"fait";0,048;0,002;0;0,66;0,622;0,003
"manière";0;0,74;0,017;0,37;0,076;0,493
"présenter";0,238;0,916;0,147;0,002;0;0,735
"principe";0;0,892;0,001;0;0;0,002
"connaître";0,858;0,006;0,645;0;0,001;0,347
"sujet";0,021;0,078;0,073;0,002;0;0,001
"devenir";0,266;0,675;0;0,489;0;0,657
"ancien";0,565;0,475;0;0;0,001;0,011
"servir";0;0,008;0,29;0,2;0,787;0
"rapport";0,086;0;0,061;0;0,043;0,005
"périodique";0;0;0;0;0;0
"presse";0;0,012;0;0,041;0;0,031
"imprimer";0,001;0,001;0;0,003;0;0,207
"vie";0;0,675;0;0;0;0,003
"spécial";0,039;0;0;0;0;0
"donnée";0;0,675;0;0;0;0
"réaliser";0,019;0;0,664;0,001;0,019;0,003
"particulier";0,331;0,519;0,761;0,005;0;0,001
"divers";0,931;0,545;0,25;0,001;0;0,001
"former";0,484;0,675;0,008;0,01;0;0,205
"exposer";0,043;0,09;0,011;0,036;0;0
"permettre";0,005;0;0,135;0,01;0,264;0
"seul";0,218;0,001;0,273;0,33;0,05;0,136
"espèce";0,008;0,004;0,029;0,001;0;0,728
"bibliographique";0,01;0,345;0;0;0;0
"trouver";0,019;0,274;0,272;0,143;0,015;0,036
"créer";0,011;0,017;0,002;0,872;0;0,408
"carte";0,23;0,01;0;0;0,221;0
"suivant";0,002;0,099;0,122;0,01;0;0,659
"service";0;0;0;0;0;0
"littéraire";0,69;0,055;0,376;0;0;0
"p";0;0,628;0,015;0,275;0,71;0,001
"lire";0,203;0,015;0;0;0;0,272
"national";0,259;0;0;0,001;0,005;0
"lecteur";0,654;0,459;0;0,003;0,655;0
"ficher";0,001;0,014;0;0;0;0
"éditeur";0;0,176;0;0;0,914;0
"littérature";0,172;0,011;0,001;0;0;0
"part";0,726;0,444;0,001;0,974;0,034;0,069
"connaissance";0;0,109;0;0,036;0,611;0
"film";0,176;0,257;0;0;0;0
"place";0,412;0,267;0,004;0,064;0;0,592
"revue";0;0,127;0;0,014;0;0
"société";0;0;0,396;0,008;0;0
"loi";0,703;0,107;0;0,02;0,003;0
"plan";0,008;0,116;0,315;0;0;0,298
"question";0,127;0,001;0,081;0,037;0,037;0
"manuscrit";0,51;0,02;0;0,568;0;0,236
"fois";0,335;0,963;0,51;0,055;0,743;0,979
"critique";0,917;0,034;0,002;0,005;0,046;0
"but";0,001;0,007;0;0,169;0,173;0
"type";0,123;0,764;0,272;0;0;0,887
"technique";0,01;0;0;0;0,003;0,782
"association";0,714;0;0;0,003;0;0
"sentir";0;0,025;0;0;0;0,248
"répertoire";0;0,3;0;0;0;0
"machine";0,001;0,002;0,027;0;0;0
"musique";0,056;0,004;0,043;0;0;0,006
"exprimer";0,001;0,002;0;0;0,037;0,29
"complet";0,05;0,028;0,094;0,048;0;0
"petit";0,662;0,015;0,006;0,079;0,077;0
"organisme";0,005;0;0;0;0,221;0
"rendre";0,094;0,212;0,386;0,38;0,906;0
"valeur";0,683;0,163;0;0,155;0,108;0,212
"produire";0,357;0,006;0;0,136;0;0,982
"signe";0;0;0,015;0,227;0;0
"pari";0;0,096;0;0,012;0;0,002
"social";0,056;0,005;0;0,21;0;0
"français";0;0,074;0;0;0;0,064
"musée";0,562;0;0;0,097;0,19;0,001
"instrument";0,002;0,783;0;0,001;0,005;0,006
"france";0;0,203;0;0,637;0;0,001
"tableau";0;0,026;0,126;0,008;0;0,002
"of";0,739;0,837;0,189;0,029;0;0,245
"photographie";0,002;0,019;0;0;0;0
"développement";0,03;0,783;0;0,098;0,009;0,005
"archive";0,643;0;0;0;0,571;0
"règle";0;0,379;0,847;0,183;0;0,004
"agir";0,007;0,999;0;0,009;0,256;0,319
"notice";0;0;0;0;0;0
"procédé";0,029;0,004;0,075;0,018;0;0
"exister";0,596;0,019;0,767;0,724;0,201;0,279
"propre";0,241;0,783;0,004;0,793;0,419;0,009
"monde";0,026;0,034;0,248;0;0;0,937
"article";0,054;0;0;0,001;0;0
"année";0;0,923;0,005;0,022;0,095;0,033
"fin";0,037;0,257;0,128;0,038;0;0,419
"passer";0,747;0,012;0,044;0;0;0,629
"encyclopédie";0,385;0,912;0,003;0,006;0;0
"feuille";0,19;0;0;0;0;0,004
"mondial";0,337;0;0,001;0;0;0
"simple";0,004;0,001;0,612;0,13;0,77;0
"opération";0,012;0,903;0,35;0;0;0,635
"action";0,069;0,741;0;0,917;0;0,002
"exemple";0,996;0,116;0;0,024;0;0,23
"réalité";0,002;0,015;0;0,242;0;0,351
"note";0;0,001;0,015;0,015;0;0,015
"format";0,904;0,081;0;0;0;0
"division";0;0,122;0,028;0;0;0
"expression";0;0,002;0;0,844;0;0,719
"contenir";0,095;0,004;0,453;0,01;0;0,007
"recherche";0,118;0;0,4;0,001;0;0,005
"classement";0;0;0;0;0;0
"mouvement";0,005;0,693;0,034;0,896;0;0
"humain";0;0,003;0;0,063;0;0,01
"paraître";0;0,299;0,001;0,299;0,068;0,004
"matériel";0,02;0,131;0,027;0,004;0,001;0,785
"disposer";0,313;0,045;0,004;0,015;0;0,914
"seulement";0,238;0,008;0,419;0,004;0,921;0,984
"placer";0,054;0,008;0,01;0;0;0,784
"information";0;0;0,214;0;0,538;0
"langage";0,01;0,02;0,021;0;0;0,305
"historique";0,09;0,356;0,433;0;0,041;0,001
"documentaire";0,013;0,022;0,554;0;0;0,001
"cinéma";0,079;0,002;0,393;0,57;0;0
"mesure";0,2;0,671;0;0,269;0;0,037
"parler";0,006;0,003;0,006;0;0;0,786
"indiquer";0,001;0;0,063;0;0;0,007
"administration";0,748;0;0;0;0;0
"ligne";0,006;0,008;0;0;0,805;0
"librairie";0;0,003;0;0;0;0
"suivre";0,369;0,162;0,325;0,165;0,071;0,028
"unité";0,004;0,888;0,47;0,017;0;0,026
"possible";0,019;0,137;0;0,002;0,001;0,191
"pièce";0,724;0,387;0,001;0,296;0,02;0,014
"index";0,093;0;0;0,002;0;0,001
"sorte";0,031;0,599;0,081;0,446;0,017;0,561
"notion";0,018;0,274;0;0,517;0,845;0,703
"institut";0,297;0;0;0;0,066;0
"i";0,063;0;0,005;0,033;0,007;0,315
"production";0,718;0,39;0;0,511;0,035;0,013
"venir";0,809;0,768;0,319;0,582;0,001;0
"problème";0,031;0,508;0;0,001;0,024;0,449
"exemplaire";0;0,071;0;0,007;0,008;0
"cours";0,001;0;0,181;0,237;0,029;0,001
"représenter";0,075;0,508;0,938;0,267;0,001;0
"imprimerie";0;0,267;0,012;0,041;0;0
"fonction";0,029;0;0;0,003;0,768;0,005
"déterminer";0,004;0,87;0;0,001;0,018;0,001
"base";0,011;0,978;0,016;0;0,005;0,995
"domaine";0,001;0;0;0,163;0;0,008
"dernier";0,001;0,937;0,002;0,242;0,972;0,303
"commun";0,317;0;0,016;0,399;0,774;0
"série";0,007;0,501;0,111;0,001;0;0,06
"dictionnaire";0,322;0,007;0;0,894;0;0
"besoin";0,132;0,108;0;0,583;0,139;0,003
"usage";0,871;0,662;0,712;0,754;0,093;0,051
"pratique";0,49;0,351;0;0,008;0,887;0
"oeil";0,001;0,001;0,458;0,984;0,001;0
"reproduction";0,073;0,005;0,005;0,036;0,033;0
"distinguer";0,017;0,044;0,485;0,44;0,006;0,502
"moderne";0,773;0,584;0,216;0;0;0,116
"compte";0;0,864;0,393;0,036;0,023;0
"enseignement";0,007;0;0,678;0,895;0;0,004
"condition";0,996;0,296;0;0,047;0,002;0,23
"âge";0,001;0,001;0,741;0;0;0,959
"principal";0,022;0,432;0,244;0,082;0;0,054
"composer";0,005;0,016;0,404;0,627;0,425;0
"aller";0,787;0,432;0,69;0,005;0,12;0,649
"raison";0,79;0,107;0;0,408;0,049;0,378
"prix";0;0,025;0;0;0,152;0,077
"important";0,008;0,33;0,399;0,75;0,941;0,06
"commencer";0,587;0,781;0,026;0,756;0,944;0,236
"progrès";0,435;0,726;0;0,051;0;0,719
"posséder";0,001;0,822;0,015;0,686;0,528;0,225
"date";0,147;0,027;0;0,002;0;0,084
"appeler";0,21;0,234;0,119;0,611;0,378;0
"tenir";0,927;0,021;0,035;0,255;0,328;0,055
"impression";0,871;0,004;0,07;0,008;0,683;0
"haut";0,098;0,117;0,177;0,45;0,057;0
"corps";0,061;0,874;0,019;0,722;0,764;0,6
"porter";0,18;0,2;0,244;0,003;0;0,135
"office";0,416;0;0;0,005;0,084;0
"logique";0,007;0,005;0;0,559;0,12;0,001
"genre";0,269;0,108;0,517;0;0,049;0,75
"droit";0;0;0,002;0,831;0,234;0
"systématique";0,002;0,035;0,426;0;0;0
"nouvelle";0,052;0,794;0;0,556;0,003;0,007
"importance";0,228;0,923;0,069;0,48;0,824;0,316
"nécessaire";0,004;0,011;0,746;0,042;0,001;0,084
"considérer";0,155;0,104;0;0,005;0,009;0,03
"coopération";0;0;0;0;0,219;0
"the";0;0,134;0,087;0,111;0,435;0,553
"appliquer";0,004;0,014;0,534;0,141;0,085;0,001
"numéro";0,528;0,003;0;0;0;0
"différent";0,038;0,608;0,21;0,853;0,381;0,894
"cas";0,193;0,289;0,588;0,031;0,001;0,044
"terme";0,029;0,008;0;0,11;0,005;0,027
"recueil";0,696;0,366;0;0,033;0;0
"obtenir";0,033;0,043;0,143;0,008;0,087;0
"notamment";0,444;0;0,011;0,018;0,37;0,529
"notation";0,002;0;0,257;0,598;0,442;0
"alphabétique";0;0;0;0,001;0;0,011
"tendre";0,122;0,934;0;0,003;0,844;0,305
"nature";0,001;0,867;0;0,424;0,234;0,396
"moment";0,009;0,985;0;0,865;0,166;0,049
