de;939;990;1228;1052;1812;1421
la;703;772;1082;900;1321;1159
les;647;737;841;801;1444;1007
et;648;755;1023;807;1370;1023
l;554;670;934;796;1133;979
des;574;729;718;629;1282;898
être;580;676;943;798;1317;1033
à;526;591;741;586;1000;898
le;533;507;726;684;957;864
d;460;520;640;511;994;744
avoir;522;515;562;575;854;719
en;483;427;520;447;927;692
un;328;327;446;401;746;555
une;277;350;511;394;588;528
dans;255;319;427;359;627;351
il;258;268;433;342;560;382
du;306;297;359;313;498;441
par;306;285;313;279;505;492
ou;164;215;266;202;599;433
qui;202;208;382;334;408;379
on;179;118;236;291;421;448
pour;215;232;282;233;408;316
que;133;166;309;286;284;271
ne;154;131;285;299;321;242
au;204;183;207;233;296;277
sur;109;129;160;127;359;366
plus;112;115;223;208;196;261
se;112;135;261;214;295;233
s;128;153;265;191;259;187
qu;100;114;226;209;261;190
pouvoir;75;100;218;127;333;240
faire;135;117;193;187;244;203
ce;89;113;217;163;247;164
c;99;110;190;174;244;174
aux;154;120;132;132;228;150
y;118;115;151;123;251;180
avec;78;110;150;107;244;175
elle;75;84;164;103;129;121
leur;77;79;131;85;196;91
1;83;100;104;43;226;127
son;65;66;153;112;124;126
comme;56;78;141;94;160;124
2;77;101;112;49;204;138
pas;67;47;125;139;130;122
même;36;76;108;104;170;134
devoir;48;102;144;77;157;79
tout;54;67;123;99;143;95
mais;44;70;135;115;130;120
tous;65;83;109;85;128;87
ces;57;81;115;56;188;93
3;58;85;85;30;199;117
b;58;81;85;58;184;94
ils;49;58;76;79;128;72
toutes;52;69;105;63;122;64
ses;48;56;89;91;82;64
autres;39;58;100;73;134;70
aussi;49;46;91;73;114;98
dire;38;38;61;117;75;79
ainsi;45;53;68;73;126;85
4;53;65;46;33;156;87
elles;40;68;60;54;97;59
chaque;46;49;48;42;155;59
sous;43;59;58;54;141;76
dont;48;52;72;57;98;86
toute;35;57;85;54;75;73
sa;33;32;79;79;66;56
sans;35;21;74;62;79;71
cette;34;48;96;49;70;68
leurs;38;61;63;64;73;37
point;9;35;82;49;89;73
000;112;30;3;19;55;59
bien;32;26;80;65;81;42
où;28;39;69;61;75;68
deux;44;31;62;28;89;71
5;65;42;37;25;98;70
autre;26;32;71;50;67;54
falloir;36;30;92;41;48;37
après;44;18;35;41;93;60
entre;25;58;52;31;78;32
lui;34;30;58;60;37;27
e;27;38;34;30;68;40
si;21;9;46;47;54;47
nous;7;6;63;60;18;45
non;28;17;43;39;50;38
trois;22;20;46;24;60;44
diverses;14;28;34;15;95;31
6;25;33;25;25;56;58
moins;26;17;36;37;45;43
celle;22;25;39;31;37;30
plusieurs;20;19;11;16;76;38
très;20;21;25;32;42;40
savoir;8;17;50;45;28;26
souvent;28;10;23;36;63;23
7;20;17;20;19;46;55
donc;15;19;54;16;47;32
f;32;22;20;17;42;37
encore;15;11;35;32;43;37
certains;25;22;19;28;55;31
celui;15;11;33;36;40;29
8;23;19;12;14;47;39
ceux;11;21;25;39;36;23
ni;13;5;19;18;24;19
peu;16;15;25;30;18;22
million;72;8;5;6;19;17
selon;4;11;20;10;79;18
m;39;20;9;12;20;34
alors;18;12;21;24;29;28
quelques;22;11;13;27;34;27
vers;12;12;20;39;19;30
déjà;18;22;27;18;29;22
aujourd_hui;22;12;30;17;13;39
quand;19;11;16;19;38;27
chacun;7;18;29;9;54;18
an;39;10;13;22;19;21
toujours;10;13;24;38;25;19
certaines;10;13;16;19;41;23
celles;20;22;19;8;28;16
bon;25;11;11;28;24;23
personne;21;21;14;16;30;16
g;10;15;18;15;31;21
quelque;6;15;20;23;22;20
nos;11;6;33;26;7;27
là;13;12;27;18;21;21
10;32;10;4;7;30;24
ici;6;19;31;7;35;14
chez;9;8;19;39;13;18
cet;8;16;16;19;37;16
maintenant;18;17;25;11;16;26
j;15;12;9;23;24;16
depuis;26;10;8;25;15;25
avant;22;10;14;22;17;19
in;10;7;2;7;31;8
eux;8;14;21;10;31;15
puis;13;4;16;17;12;27
car;11;7;24;22;18;18
beaucoup;17;10;16;24;18;17
quant;6;11;12;6;38;11
fort;21;9;10;12;19;25
tel;8;9;14;11;18;10
quatre;12;9;13;10;23;21
vouloir;6;11;20;25;11;16
surtout;13;7;16;24;18;17
