"";"x"
"1";1
"2";4
"3";5
"4";5
"5";2
"6";3
"7";5
"8";1
"9";5
"10";0
"11";5
"12";5
"13";5
"14";5
"15";5
"16";5
"17";5
"18";3
"19";5
"20";2
"21";5
"22";2
"23";6
"24";5
"25";5
"26";5
"27";5
"28";5
"29";5
"30";5
"31";5
"32";5
"33";5
"34";5
"35";3
"36";5
"37";5
"38";5
"39";5
"40";2
"41";2
"42";5
"43";2
"44";2
"45";5
"46";2
"47";2
"48";2
"49";2
"50";2
"51";2
"52";2
"53";4
"54";2
"55";2
"56";2
"57";2
"58";2
"59";2
"60";2
"61";0
"62";5
"63";0
"64";6
"65";3
"66";3
"67";0
"68";3
"69";2
"70";0
"71";5
"72";5
"73";3
"74";3
"75";2
"76";3
"77";3
"78";3
"79";3
"80";3
"81";5
"82";5
"83";3
"84";3
"85";5
"86";0
"87";5
"88";0
"89";3
"90";3
"91";5
"92";0
"93";0
"94";2
"95";5
"96";0
"97";3
"98";3
"99";6
"100";3
"101";3
"102";0
"103";3
"104";5
"105";3
"106";5
"107";3
"108";3
"109";0
"110";3
"111";3
"112";3
"113";3
"114";3
"115";3
"116";3
"117";3
"118";0
"119";3
"120";3
"121";3
"122";3
"123";3
"124";3
"125";3
"126";3
"127";3
"128";3
"129";5
"130";2
"131";3
"132";3
"133";3
"134";3
"135";3
"136";3
"137";3
"138";3
"139";3
"140";0
"141";0
"142";3
"143";0
"144";0
"145";0
"146";0
"147";0
"148";4
"149";0
"150";4
"151";0
"152";5
"153";4
"154";5
"155";5
"156";4
"157";6
"158";0
"159";0
"160";3
"161";2
"162";5
"163";6
"164";2
"165";2
"166";0
"167";0
"168";0
"169";0
"170";0
"171";0
"172";3
"173";0
"174";3
"175";0
"176";3
"177";3
"178";0
"179";0
"180";0
"181";3
"182";0
"183";0
"184";0
"185";0
"186";0
"187";6
"188";6
"189";4
"190";0
"191";5
"192";1
"193";1
"194";5
"195";0
"196";6
"197";6
"198";6
"199";6
"200";6
"201";6
"202";0
"203";6
"204";6
"205";3
"206";6
"207";6
"208";6
"209";5
"210";4
"211";1
"212";4
"213";6
"214";1
"215";1
"216";1
"217";5
"218";1
"219";4
"220";0
"221";5
"222";5
"223";2
"224";1
"225";0
"226";5
"227";5
"228";3
"229";3
"230";0
"231";3
"232";0
"233";0
"234";0
"235";0
"236";0
"237";3
"238";3
"239";5
"240";2
"241";1
"242";3
"243";1
"244";3
"245";3
"246";5
"247";4
"248";1
"249";1
"250";5
"251";5
"252";5
"253";5
"254";5
"255";0
"256";5
"257";5
"258";4
"259";1
"260";1
"261";1
"262";5
"263";1
"264";3
"265";1
"266";5
"267";4
"268";4
"269";6
"270";4
"271";1
"272";1
"273";1
"274";1
"275";1
"276";4
"277";5
"278";1
"279";1
"280";5
"281";5
"282";5
"283";1
"284";6
"285";2
"286";5
"287";6
"288";6
"289";6
"290";6
"291";6
"292";1
"293";4
"294";1
"295";3
"296";6
"297";1
"298";6
"299";1
"300";2
"301";5
"302";5
"303";5
"304";2
"305";3
"306";5
"307";5
"308";5
"309";5
"310";1
"311";5
"312";5
"313";5
"314";2
"315";2
"316";2
"317";0
"318";5
"319";1
"320";0
"321";5
"322";0
"323";3
"324";0
"325";0
"326";3
"327";3
"328";0
"329";0
"330";3
"331";0
"332";3
"333";3
"334";3
"335";3
"336";2
"337";3
"338";3
"339";3
"340";3
"341";5
"342";3
"343";3
"344";3
"345";3
"346";0
"347";3
"348";3
"349";0
"350";0
"351";3
"352";3
"353";3
"354";3
"355";3
"356";0
"357";3
"358";3
"359";3
"360";3
"361";3
"362";3
"363";5
"364";3
"365";5
"366";3
"367";3
"368";3
"369";4
"370";0
"371";3
"372";4
"373";4
"374";0
"375";0
"376";0
"377";3
"378";3
"379";0
"380";0
"381";0
"382";5
"383";5
"384";3
"385";3
"386";3
"387";3
"388";5
"389";3
"390";3
"391";0
"392";0
"393";3
"394";3
"395";3
"396";3
"397";2
"398";5
"399";5
"400";3
"401";3
"402";3
"403";0
"404";0
"405";5
"406";3
"407";5
"408";3
"409";3
"410";0
"411";0
"412";3
"413";0
"414";4
"415";3
"416";0
"417";3
"418";0
"419";0
"420";0
"421";0
"422";6
"423";6
"424";3
"425";0
"426";0
"427";0
"428";0
"429";3
"430";0
"431";5
"432";3
"433";0
"434";3
"435";4
"436";4
"437";3
"438";3
"439";3
"440";0
"441";0
"442";0
"443";0
"444";6
"445";3
"446";3
"447";5
"448";3
"449";3
"450";0
"451";0
"452";3
"453";3
"454";3
"455";0
"456";3
"457";0
"458";3
"459";3
"460";0
"461";3
"462";3
"463";0
"464";4
"465";4
"466";0
"467";3
"468";4
"469";2
"470";4
"471";4
"472";4
"473";4
"474";3
"475";2
"476";0
"477";4
"478";4
"479";3
"480";4
"481";4
"482";2
"483";4
"484";4
"485";4
"486";4
"487";4
"488";4
"489";4
"490";4
"491";3
"492";3
"493";3
"494";2
"495";2
"496";3
"497";3
"498";3
"499";3
"500";2
"501";3
"502";2
"503";3
"504";3
"505";2
"506";4
"507";4
"508";3
"509";2
"510";3
"511";4
"512";3
"513";3
"514";0
"515";3
"516";3
"517";3
"518";5
"519";0
"520";3
"521";3
"522";3
"523";3
"524";3
"525";0
"526";3
"527";5
"528";5
"529";3
"530";3
"531";2
"532";0
"533";3
"534";3
"535";0
"536";3
"537";4
"538";3
"539";3
"540";3
"541";0
"542";3
"543";4
"544";0
"545";3
"546";3
"547";3
"548";5
"549";3
"550";3
"551";0
"552";0
"553";3
"554";0
"555";6
"556";5
"557";5
"558";3
"559";3
"560";0
"561";4
"562";2
"563";3
"564";3
"565";3
"566";3
"567";3
"568";3
"569";4
"570";2
"571";2
"572";1
"573";3
"574";3
"575";3
"576";0
"577";3
"578";3
"579";3
"580";3
"581";3
"582";4
"583";3
"584";3
"585";3
"586";3
"587";3
"588";3
"589";3
"590";3
"591";3
"592";3
"593";3
"594";3
"595";3
"596";3
"597";3
"598";3
"599";3
"600";3
"601";3
"602";4
"603";3
"604";3
"605";3
"606";3
"607";5
"608";3
"609";3
"610";3
"611";3
"612";3
"613";3
"614";3
"615";3
"616";0
"617";3
"618";5
"619";3
"620";2
"621";3
"622";4
"623";4
"624";3
"625";3
"626";3
"627";3
"628";6
"629";3
"630";3
"631";4
"632";4
"633";0
"634";4
"635";3
"636";4
"637";3
"638";3
"639";3
"640";3
"641";0
"642";3
"643";3
"644";3
"645";4
"646";3
"647";3
"648";3
"649";3
"650";6
"651";3
"652";3
"653";3
"654";3
"655";3
"656";4
"657";6
"658";6
"659";3
"660";0
"661";3
"662";0
"663";3
"664";3
"665";0
"666";4
"667";0
"668";3
"669";0
"670";3
"671";2
"672";2
"673";2
"674";2
"675";2
"676";3
"677";2
"678";2
"679";3
"680";2
"681";0
"682";2
"683";2
"684";1
"685";2
"686";2
"687";1
"688";1
"689";5
"690";5
"691";5
"692";3
"693";3
"694";6
"695";5
"696";3
"697";3
"698";3
"699";3
"700";2
"701";5
"702";5
"703";3
"704";2
"705";3
"706";5
"707";3
"708";3
"709";3
"710";3
"711";4
"712";0
"713";2
"714";4
"715";3
"716";6
"717";6
"718";3
"719";0
"720";3
"721";3
"722";3
"723";3
"724";3
"725";3
"726";3
"727";3
"728";3
"729";5
"730";5
"731";3
"732";4
"733";4
"734";4
"735";0
"736";1
"737";3
"738";5
"739";0
"740";1
"741";0
"742";0
"743";1
"744";0
"745";0
"746";2
"747";3
"748";0
"749";0
"750";3
"751";5
"752";6
"753";5
"754";5
"755";4
"756";2
"757";0
"758";5
"759";3
"760";6
"761";6
"762";5
"763";6
"764";5
"765";0
"766";3
"767";0
"768";3
"769";3
"770";3
"771";5
"772";5
"773";0
"774";0
"775";6
"776";0
"777";0
"778";3
"779";0
"780";3
"781";3
"782";3
"783";4
"784";4
"785";4
"786";4
"787";3
"788";3
"789";4
"790";6
"791";4
"792";3
"793";4
"794";0
"795";3
"796";3
"797";6
"798";3
"799";0
"800";0
"801";3
"802";5
"803";3
"804";3
"805";3
"806";5
"807";3
"808";2
"809";3
"810";4
"811";6
"812";0
"813";3
"814";1
"815";4
"816";6
"817";5
"818";3
"819";3
"820";0
"821";5
"822";0
"823";5
"824";5
"825";5
"826";1
"827";6
"828";6
"829";0
"830";5
"831";5
"832";5
"833";5
"834";0
"835";6
"836";5
"837";5
"838";0
"839";3
"840";6
"841";6
"842";6
"843";6
"844";6
"845";6
"846";6
"847";2
"848";6
"849";6
"850";6
"851";6
"852";6
"853";6
"854";6
"855";1
"856";6
"857";6
"858";6
"859";6
"860";6
"861";6
"862";6
"863";6
"864";6
"865";6
"866";6
"867";6
"868";6
"869";6
"870";1
"871";1
"872";6
"873";6
"874";6
"875";6
"876";6
"877";6
"878";6
"879";6
"880";6
"881";6
"882";6
"883";2
"884";6
"885";5
"886";6
"887";6
"888";6
"889";6
"890";6
"891";6
"892";0
"893";6
"894";6
"895";2
"896";5
"897";5
"898";6
"899";6
"900";6
"901";0
"902";2
"903";6
"904";6
"905";6
"906";6
"907";6
"908";1
"909";6
"910";5
"911";1
"912";2
"913";2
"914";6
"915";2
"916";1
"917";2
"918";0
"919";1
"920";6
"921";1
"922";1
"923";6
"924";1
"925";1
"926";1
"927";1
"928";1
"929";6
"930";1
"931";6
"932";1
"933";1
"934";1
"935";1
"936";1
"937";1
"938";1
"939";6
"940";4
"941";1
"942";6
"943";6
"944";6
"945";6
"946";3
"947";6
"948";0
"949";6
"950";6
"951";6
"952";6
"953";1
"954";2
"955";5
"956";6
"957";0
"958";6
"959";6
"960";4
"961";6
"962";6
"963";6
"964";6
"965";6
"966";4
"967";5
"968";5
"969";3
"970";5
"971";6
"972";6
"973";5
"974";5
"975";5
"976";5
"977";5
"978";1
"979";6
"980";6
"981";5
"982";5
"983";1
"984";6
"985";5
"986";2
"987";5
"988";5
"989";5
"990";5
"991";5
"992";5
"993";5
"994";1
"995";6
"996";1
"997";0
"998";0
"999";0
"1000";6
"1001";5
"1002";5
"1003";5
"1004";1
"1005";6
"1006";6
"1007";0
"1008";0
"1009";6
"1010";0
"1011";0
"1012";0
"1013";0
"1014";0
"1015";0
"1016";6
"1017";6
"1018";5
"1019";6
"1020";4
"1021";4
"1022";5
"1023";5
"1024";5
"1025";5
"1026";5
"1027";5
"1028";5
"1029";5
"1030";5
"1031";2
"1032";5
"1033";6
"1034";5
"1035";5
"1036";1
"1037";5
"1038";6
"1039";6
"1040";5
"1041";5
"1042";1
"1043";1
"1044";6
"1045";6
"1046";5
"1047";6
"1048";5
"1049";5
"1050";5
"1051";5
"1052";5
"1053";5
"1054";5
"1055";5
"1056";5
"1057";5
"1058";5
"1059";5
"1060";1
"1061";5
"1062";6
"1063";6
"1064";0
"1065";3
"1066";0
"1067";6
"1068";0
"1069";6
"1070";4
"1071";6
"1072";6
"1073";6
"1074";6
"1075";3
"1076";6
"1077";6
"1078";4
"1079";6
"1080";0
"1081";6
"1082";6
"1083";3
"1084";3
"1085";0
"1086";0
"1087";4
"1088";0
"1089";4
"1090";0
"1091";0
"1092";4
"1093";4
"1094";0
"1095";6
"1096";6
"1097";6
"1098";6
"1099";0
"1100";6
"1101";6
"1102";6
"1103";6
"1104";6
"1105";6
"1106";6
"1107";6
"1108";4
"1109";6
"1110";6
"1111";6
"1112";6
"1113";6
"1114";4
"1115";6
"1116";4
"1117";6
"1118";6
"1119";6
"1120";6
"1121";0
"1122";0
"1123";6
"1124";6
"1125";6
"1126";0
"1127";4
"1128";6
"1129";6
"1130";6
"1131";6
"1132";6
"1133";0
"1134";6
"1135";4
"1136";6
"1137";6
"1138";6
"1139";6
"1140";0
"1141";0
"1142";0
"1143";0
"1144";3
"1145";0
"1146";6
"1147";6
"1148";6
"1149";6
"1150";1
"1151";6
"1152";0
"1153";0
"1154";3
"1155";6
"1156";6
"1157";6
"1158";6
"1159";6
"1160";6
"1161";6
"1162";6
"1163";6
"1164";6
"1165";6
"1166";6
"1167";6
"1168";6
"1169";6
"1170";6
"1171";6
"1172";6
"1173";4
"1174";5
"1175";4
"1176";6
"1177";6
"1178";6
"1179";4
"1180";4
"1181";0
"1182";4
"1183";0
"1184";6
"1185";6
"1186";6
"1187";4
"1188";6
"1189";4
"1190";6
"1191";6
"1192";6
"1193";6
"1194";6
"1195";6
"1196";4
"1197";6
"1198";6
"1199";6
"1200";6
"1201";6
"1202";0
"1203";0
"1204";6
"1205";6
"1206";3
"1207";6
"1208";4
"1209";0
"1210";3
"1211";4
"1212";3
"1213";6
"1214";3
"1215";6
"1216";6
"1217";6
"1218";3
"1219";6
"1220";5
"1221";4
"1222";4
"1223";1
"1224";6
"1225";6
"1226";6
"1227";6
"1228";6
"1229";6
"1230";3
"1231";3
"1232";3
"1233";2
"1234";2
"1235";3
"1236";6
"1237";3
"1238";6
"1239";4
"1240";3
"1241";3
"1242";4
"1243";4
"1244";3
"1245";6
"1246";3
"1247";3
"1248";3
"1249";0
"1250";4
"1251";4
"1252";6
"1253";6
"1254";6
"1255";6
"1256";6
"1257";6
"1258";1
"1259";6
"1260";4
"1261";0
"1262";0
"1263";3
"1264";3
"1265";6
"1266";6
"1267";6
"1268";3
"1269";6
"1270";1
"1271";6
"1272";6
"1273";6
"1274";6
"1275";6
"1276";6
"1277";6
"1278";6
"1279";6
"1280";6
"1281";6
"1282";4
"1283";6
"1284";6
"1285";6
"1286";6
"1287";6
"1288";6
"1289";6
"1290";6
"1291";6
"1292";1
"1293";1
"1294";4
"1295";6
"1296";6
"1297";4
"1298";4
"1299";2
"1300";4
"1301";6
"1302";6
"1303";6
"1304";6
"1305";4
"1306";6
"1307";4
"1308";6
"1309";6
"1310";4
"1311";4
"1312";4
"1313";6
"1314";6
"1315";6
"1316";6
"1317";6
"1318";6
"1319";6
"1320";6
"1321";6
"1322";4
"1323";4
"1324";6
"1325";6
"1326";6
"1327";4
"1328";6
"1329";6
"1330";6
"1331";4
"1332";6
"1333";6
"1334";5
"1335";6
"1336";6
"1337";6
"1338";6
"1339";6
"1340";3
"1341";3
"1342";6
"1343";3
"1344";3
"1345";6
"1346";6
"1347";5
"1348";6
"1349";4
"1350";6
"1351";6
"1352";6
"1353";6
"1354";6
"1355";5
"1356";6
"1357";6
"1358";4
"1359";6
"1360";6
"1361";6
"1362";6
"1363";4
"1364";6
"1365";6
"1366";6
"1367";4
"1368";2
"1369";2
"1370";6
"1371";4
"1372";6
"1373";6
"1374";6
"1375";6
"1376";2
"1377";6
"1378";6
"1379";3
"1380";0
"1381";4
"1382";4
"1383";6
"1384";1
"1385";4
"1386";4
"1387";4
"1388";6
"1389";6
"1390";6
"1391";6
"1392";6
"1393";6
"1394";5
"1395";6
"1396";6
"1397";3
"1398";6
"1399";6
"1400";6
"1401";6
"1402";6
"1403";6
"1404";3
"1405";6
"1406";6
"1407";6
"1408";6
"1409";6
"1410";6
"1411";6
"1412";6
"1413";6
"1414";4
"1415";5
"1416";6
"1417";6
"1418";6
"1419";4
"1420";4
"1421";0
"1422";3
"1423";3
"1424";6
"1425";6
"1426";3
"1427";3
"1428";6
"1429";6
"1430";6
"1431";4
"1432";4
"1433";0
"1434";6
"1435";6
"1436";6
"1437";6
"1438";6
"1439";6
"1440";5
"1441";0
"1442";3
"1443";6
"1444";6
"1445";4
"1446";4
"1447";3
"1448";4
"1449";0
"1450";6
"1451";6
"1452";6
"1453";4
"1454";4
"1455";6
"1456";6
"1457";4
"1458";0
"1459";2
"1460";4
"1461";2
"1462";4
"1463";6
"1464";4
"1465";4
"1466";6
"1467";4
"1468";3
"1469";6
"1470";6
"1471";1
"1472";6
"1473";3
"1474";4
"1475";4
"1476";6
"1477";4
"1478";4
"1479";4
"1480";6
"1481";1
"1482";1
"1483";4
"1484";1
"1485";2
"1486";4
"1487";6
"1488";6
"1489";6
"1490";3
"1491";6
"1492";6
"1493";0
"1494";0
"1495";3
"1496";0
"1497";3
"1498";3
"1499";3
"1500";3
"1501";3
"1502";6
"1503";0
"1504";3
"1505";0
"1506";5
"1507";6
"1508";0
"1509";0
"1510";1
"1511";6
"1512";6
"1513";6
"1514";4
"1515";0
"1516";6
"1517";0
"1518";6
"1519";6
"1520";4
"1521";0
"1522";4
"1523";6
"1524";2
"1525";6
"1526";6
"1527";6
"1528";6
"1529";6
"1530";6
"1531";6
"1532";5
"1533";4
"1534";4
"1535";4
"1536";4
"1537";5
"1538";6
"1539";1
"1540";5
"1541";5
"1542";5
"1543";6
"1544";5
"1545";5
"1546";2
"1547";1
"1548";4
"1549";6
"1550";5
"1551";5
"1552";4
"1553";6
"1554";3
"1555";6
"1556";6
"1557";0
"1558";0
"1559";0
"1560";0
"1561";0
"1562";0
"1563";3
"1564";6
"1565";6
"1566";0
"1567";4
"1568";6
"1569";6
"1570";6
"1571";6
"1572";6
"1573";1
"1574";6
"1575";4
"1576";6
"1577";6
"1578";6
"1579";5
"1580";6
"1581";6
"1582";6
"1583";6
"1584";6
"1585";6
"1586";6
"1587";6
"1588";6
"1589";6
"1590";3
"1591";3
"1592";0
"1593";4
"1594";6
"1595";0
"1596";3
"1597";6
"1598";4
"1599";3
"1600";0
"1601";3
"1602";4
"1603";4
"1604";6
"1605";6
"1606";6
"1607";3
"1608";4
"1609";4
"1610";4
"1611";4
"1612";4
"1613";4
"1614";4
"1615";4
"1616";4
"1617";4
"1618";4
"1619";6
"1620";0
"1621";4
"1622";6
"1623";6
"1624";6
"1625";0
"1626";3
"1627";6
"1628";6
"1629";6
"1630";6
"1631";3
"1632";6
"1633";6
"1634";2
"1635";0
"1636";6
"1637";6
"1638";6
"1639";6
"1640";0
"1641";6
"1642";6
"1643";6
"1644";0
"1645";5
"1646";0
"1647";5
"1648";6
"1649";6
"1650";0
"1651";5
"1652";6
"1653";5
"1654";5
"1655";3
"1656";0
"1657";6
"1658";0
"1659";6
"1660";3
"1661";6
"1662";6
"1663";0
"1664";6
"1665";6
"1666";6
"1667";6
"1668";6
"1669";6
"1670";6
"1671";6
"1672";4
"1673";6
"1674";6
"1675";6
"1676";6
"1677";6
"1678";4
"1679";6
"1680";6
"1681";6
"1682";3
"1683";3
"1684";4
"1685";6
"1686";4
"1687";6
"1688";6
"1689";3
"1690";4
"1691";4
"1692";6
"1693";6
"1694";6
"1695";5
"1696";3
"1697";3
"1698";4
"1699";6
"1700";3
"1701";6
"1702";6
"1703";6
"1704";4
"1705";6
"1706";5
"1707";6
"1708";6
"1709";6
"1710";6
"1711";6
"1712";1
"1713";1
"1714";6
"1715";5
"1716";6
"1717";5
"1718";5
"1719";5
"1720";6
"1721";5
"1722";6
"1723";5
"1724";5
"1725";3
"1726";5
"1727";6
"1728";5
"1729";6
"1730";5
"1731";6
"1732";6
"1733";3
"1734";3
"1735";3
"1736";6
"1737";6
"1738";4
"1739";4
"1740";4
"1741";3
"1742";3
"1743";6
"1744";3
"1745";2
"1746";0
"1747";0
"1748";0
"1749";4
"1750";3
"1751";3
"1752";4
"1753";4
"1754";0
"1755";3
"1756";4
"1757";4
"1758";0
"1759";0
"1760";0
"1761";4
"1762";4
"1763";4
"1764";3
"1765";3
"1766";4
"1767";3
"1768";0
"1769";3
"1770";3
"1771";4
"1772";0
"1773";0
"1774";4
"1775";3
"1776";4
"1777";4
"1778";4
"1779";0
"1780";3
"1781";3
"1782";4
"1783";3
"1784";3
"1785";0
"1786";3
"1787";3
"1788";3
"1789";0
"1790";3
"1791";0
"1792";4
"1793";0
"1794";4
"1795";4
"1796";4
"1797";4
"1798";4
"1799";6
"1800";0
"1801";0
"1802";0
"1803";4
"1804";4
"1805";0
"1806";6
"1807";4
"1808";0
"1809";4
"1810";4
"1811";0
"1812";6
"1813";4
"1814";4
"1815";4
"1816";4
"1817";4
"1818";4
"1819";4
"1820";4
"1821";4
"1822";1
"1823";4
"1824";4
"1825";3
"1826";1
"1827";4
"1828";4
"1829";6
"1830";0
"1831";4
"1832";4
"1833";4
"1834";6
"1835";1
"1836";4
"1837";4
"1838";1
"1839";6
"1840";4
"1841";0
"1842";2
"1843";2
"1844";2
"1845";4
"1846";4
"1847";4
"1848";0
"1849";3
"1850";4
"1851";4
"1852";4
"1853";0
"1854";0
"1855";4
"1856";4
"1857";3
"1858";0
"1859";4
"1860";4
"1861";4
"1862";6
"1863";1
"1864";3
"1865";4
"1866";4
"1867";4
"1868";4
"1869";4
"1870";4
"1871";4
"1872";3
"1873";4
"1874";4
"1875";4
"1876";4
"1877";4
"1878";4
"1879";6
"1880";6
"1881";1
"1882";3
"1883";0
"1884";4
"1885";4
"1886";4
"1887";3
"1888";4
"1889";0
"1890";3
"1891";0
"1892";1
"1893";6
"1894";3
"1895";0
"1896";4
"1897";4
"1898";6
"1899";0
"1900";4
"1901";6
"1902";6
"1903";0
"1904";6
"1905";4
"1906";1
"1907";6
"1908";4
"1909";4
"1910";4
"1911";2
"1912";0
"1913";6
"1914";6
"1915";0
"1916";4
"1917";4
"1918";4
"1919";4
"1920";4
"1921";4
"1922";6
"1923";4
"1924";6
"1925";6
"1926";6
"1927";2
"1928";2
"1929";1
"1930";1
"1931";4
"1932";4
"1933";0
"1934";0
"1935";3
"1936";3
"1937";3
"1938";4
"1939";4
"1940";3
"1941";0
"1942";0
"1943";0
"1944";0
"1945";5
"1946";4
"1947";4
"1948";0
"1949";4
"1950";2
"1951";2
"1952";5
"1953";5
"1954";2
"1955";2
"1956";3
"1957";2
"1958";2
"1959";2
"1960";3
"1961";6
"1962";2
"1963";4
"1964";0
"1965";0
"1966";6
"1967";0
"1968";5
"1969";2
"1970";5
"1971";1
"1972";0
"1973";6
"1974";6
"1975";0
"1976";1
"1977";0
"1978";0
"1979";3
"1980";3
"1981";4
"1982";0
"1983";3
"1984";5
"1985";0
"1986";0
"1987";3
"1988";3
"1989";3
"1990";0
"1991";3
"1992";0
"1993";0
"1994";5
"1995";3
"1996";3
"1997";3
"1998";3
"1999";0
"2000";3
"2001";5
"2002";3
"2003";5
"2004";0
"2005";0
"2006";3
"2007";2
"2008";3
"2009";3
"2010";3
"2011";3
"2012";0
"2013";0
"2014";0
"2015";3
"2016";4
"2017";0
"2018";4
"2019";4
"2020";0
"2021";0
"2022";0
"2023";3
"2024";0
"2025";3
"2026";0
"2027";4
"2028";4
"2029";0
"2030";3
"2031";0
"2032";3
"2033";4
"2034";0
"2035";0
"2036";2
"2037";3
"2038";0
"2039";0
"2040";0
"2041";0
"2042";0
"2043";4
"2044";4
"2045";4
"2046";0
"2047";0
"2048";0
"2049";0
"2050";4
"2051";4
"2052";4
"2053";0
"2054";6
"2055";5
"2056";6
"2057";6
"2058";4
"2059";6
"2060";0
"2061";0
"2062";0
"2063";0
"2064";4
"2065";4
"2066";3
"2067";1
"2068";0
"2069";0
"2070";3
"2071";4
"2072";5
"2073";4
"2074";0
"2075";0
"2076";3
"2077";0
"2078";0
"2079";0
"2080";4
"2081";5
"2082";0
"2083";5
"2084";6
"2085";0
"2086";0
"2087";0
"2088";0
"2089";0
"2090";0
"2091";3
"2092";0
"2093";0
"2094";0
"2095";0
"2096";5
"2097";5
"2098";5
"2099";3
"2100";0
"2101";3
"2102";5
"2103";5
"2104";3
"2105";0
"2106";3
"2107";4
"2108";3
"2109";1
"2110";0
"2111";0
"2112";5
"2113";0
"2114";3
"2115";3
"2116";3
"2117";5
"2118";3
"2119";0
"2120";6
"2121";5
"2122";5
"2123";5
"2124";5
"2125";5
"2126";5
"2127";0
"2128";5
"2129";4
"2130";3
"2131";3
"2132";6
"2133";5
"2134";0
"2135";0
"2136";3
"2137";3
"2138";3
"2139";5
"2140";2
"2141";3
"2142";4
"2143";0
"2144";4
"2145";0
"2146";0
"2147";0
"2148";0
"2149";4
"2150";0
"2151";5
"2152";4
"2153";0
"2154";4
"2155";3
"2156";6
"2157";3
"2158";0
"2159";3
"2160";0
"2161";0
